main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
600,200,27,27,27,0,0.225,0.0,0.0,0,81.18518518518519,2192.0,free_flow,7,120.0,180.0,300.0,0,0,0,27,27,0,0
600,200,27,27,27,0,0.225,0.0,0.0,0,81.55555555555556,2202.0,free_flow,42,120.0,180.0,300.0,0,0,0,27,27,0,0
600,200,27,27,27,0,0.225,0.0,0.0,0,83.44444444444444,2253.0,free_flow,99,120.0,180.0,300.0,0,0,0,27,27,0,0
600,600,40,40,40,0,0.3333333333333333,0.0,0.0,0,85.3,3412.0,free_flow,7,120.0,180.0,300.0,0,0,0,40,40,0,0
600,600,40,40,40,0,0.3333333333333333,0.0,0.0,0,85.325,3413.0,free_flow,42,120.0,180.0,300.0,0,0,0,40,40,0,0
600,600,40,40,40,0,0.3333333333333333,0.0,0.0,0,85.725,3429.0,free_flow,99,120.0,180.0,300.0,0,0,0,40,40,0,0
600,1000,53,54,54,0,0.45,0.0,0.0,0,88.75925925925925,4793.0,free_flow,7,120.0,180.0,300.0,0,0,0,54,54,0,0
600,1000,53,54,54,0,0.45,0.0,0.0,0,88.46296296296296,4777.0,free_flow,42,120.0,180.0,300.0,0,0,0,54,54,0,0
600,1000,53,54,54,0,0.45,0.0,0.0,0,88.48148148148148,4778.0,free_flow,99,120.0,180.0,300.0,0,0,0,54,54,0,0
1200,200,47,47,47,0,0.39166666666666666,0.0,0.0,0,81.55319148936171,3833.0,free_flow,7,120.0,180.0,300.0,0,0,0,47,47,0,0
1200,200,47,47,47,0,0.39166666666666666,0.0,0.0,0,81.44680851063829,3828.0,free_flow,42,120.0,180.0,300.0,0,0,0,47,47,0,0
1200,200,47,47,47,0,0.39166666666666666,0.0,0.0,0,81.2127659574468,3817.0,free_flow,99,120.0,180.0,300.0,0,0,0,47,47,0,0
1200,600,60,60,60,0,0.5,0.0,0.0,0,85.38333333333334,5123.0,free_flow,7,120.0,180.0,300.0,0,0,0,60,60,0,0
1200,600,60,60,60,0,0.5,0.0,0.0,0,83.3,4998.0,free_flow,42,120.0,180.0,300.0,0,0,0,60,60,0,0
1200,600,60,60,60,0,0.5,0.0,0.0,0,84.26666666666667,5056.0,free_flow,99,120.0,180.0,300.0,0,0,0,60,60,0,0
1200,1000,73,74,74,0,0.6166666666666667,0.0,0.0,0,87.94594594594595,6508.0,free_flow,7,120.0,180.0,300.0,0,0,0,74,74,0,0
1200,1000,73,74,74,0,0.6166666666666667,0.0,0.0,0,86.41891891891892,6395.0,free_flow,42,120.0,180.0,300.0,0,0,0,74,74,0,0
1200,1000,73,74,74,0,0.6166666666666667,0.0,0.0,0,87.35135135135135,6464.0,free_flow,99,120.0,180.0,300.0,0,0,0,74,74,0,0
1800,200,67,67,67,0,0.5583333333333333,0.0,0.0,0,82.05970149253731,5498.0,free_flow,7,120.0,180.0,300.0,0,0,0,67,67,0,0
1800,200,67,67,67,0,0.5583333333333333,0.0,0.0,0,81.6268656716418,5469.0,free_flow,42,120.0,180.0,300.0,0,0,0,67,67,0,0
1800,200,67,67,67,0,0.5583333333333333,0.0,0.0,0,81.50746268656717,5461.0,free_flow,99,120.0,180.0,300.0,0,0,0,67,67,0,0
1800,600,80,80,80,0,0.6666666666666666,0.0,0.0,0,85.275,6822.0,free_flow,7,120.0,180.0,300.0,0,0,0,80,80,0,0
1800,600,80,80,80,0,0.6666666666666666,0.0,0.0,0,83.3625,6669.0,free_flow,42,120.0,180.0,300.0,0,0,0,80,80,0,0
1800,600,80,80,80,0,0.6666666666666666,0.0,0.0,0,84.75,6780.0,free_flow,99,120.0,180.0,300.0,0,0,0,80,80,0,0
1800,1000,93,94,94,0,0.7833333333333333,0.0,0.0,0,87.30851063829788,8207.0,free_flow,7,120.0,180.0,300.0,0,0,0,94,94,0,0
1800,1000,93,94,94,0,0.7833333333333333,0.0,0.0,0,86.11702127659575,8095.0,free_flow,42,120.0,180.0,300.0,0,0,0,94,94,0,0
1800,1000,93,94,94,0,0.7833333333333333,0.0,0.0,0,88.30851063829788,8301.0,free_flow,99,120.0,180.0,300.0,0,0,0,94,94,0,0
