strategy,total_demand_veh_h,demand_ratio,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
cooperative_limited,3950,1:2,140,0,139,140,1317,2633,,1974,1716,260,0.9533333333333334,0.002331002331002331,4.0,,91.58624708624708,157162.0,,7,1800.0,600.0,2400.0,494,48,212,1764,1976,0,0
cooperative_limited,3950,1:2,136,0,135,136,1317,2633,,1974,1701,275,0.945,0.00411522633744856,7.0,,92.58201058201058,157482.0,,42,1800.0,600.0,2400.0,505,41,234,1742,1976,0,0
cooperative_limited,3950,1:2,141,0,140,141,1317,2633,,1974,1729,247,0.9605555555555556,0.001156737998843262,2.0,,91.42972816657027,158082.0,,99,1800.0,600.0,2400.0,487,43,204,1772,1976,0,0
cooperative_limited,3950,1:2,138,0,138,138,1317,2633,,1974,1710,266,0.95,0.0035087719298245615,6.0,,92.02690058479533,157366.0,,123,1800.0,600.0,2400.0,495,45,221,1755,1976,0,0
cooperative_limited,3950,1:2,139,0,139,139,1317,2633,,1974,1714,262,0.9522222222222222,0.002333722287047841,4.0,,91.48949824970829,156813.0,,2026,1800.0,600.0,2400.0,491,40,222,1754,1976,0,0
