strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,main_loaded_veh,main_arrived_veh,main_unfinished_veh,main_total_time_spent_s,main_total_wait_time_s,main_avg_wait_time_s,main_peak_queue_vehicles,side_loaded_veh,side_arrived_veh,side_unfinished_veh,side_total_time_spent_s,side_total_wait_time_s,side_avg_wait_time_s,side_peak_queue_vehicles,total_time_spent_s,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
cooperative_limited,1:2,800,89,6,83,89,108,134,134,0,7898.0,0.0,0.0,0,267,267,0,99230.0,54072.0,202.51685393258427,46,107128.0,267,533,400,401,401,0,0.22277777777777777,134.81047381546134,54072.0,0,267.15211970074813,107128.0,queue,4,1800.0,600.0,2400.0,144,0,0,401,401,0,0
cooperative_limited,1:2,800,87,6,81,87,124,134,134,0,7954.0,0.0,0.0,0,267,267,0,96451.0,50986.0,190.95880149812734,40,104405.0,267,533,400,401,401,0,0.22277777777777777,127.12219451371571,50986.0,0,260.3615960099751,104405.0,queue,5,1800.0,600.0,2400.0,129,0,0,401,401,0,0
uncontrolled,1:3,800,0,0,0,0,0,100,100,0,5901.0,0.0,0.0,0,300,300,0,76731.0,29111.0,97.03666666666666,37,82632.0,200,600,400,400,400,0,0.2222222222222222,72.7475,29111.0,0,206.58,82632.0,queue,1,1800.0,600.0,2400.0,67,0,0,400,400,0,0
uncontrolled,1:3,800,0,0,0,0,0,100,100,0,5959.0,0.0,0.0,0,300,300,0,79370.0,29923.0,99.74333333333334,39,85329.0,200,600,400,400,400,0,0.2222222222222222,74.77,29923.0,0,213.3225,85329.0,queue,2,1800.0,600.0,2400.0,72,0,0,400,400,0,0
uncontrolled,1:3,800,0,0,0,0,0,100,100,0,5883.0,0.0,0.0,0,300,300,0,82581.0,31737.0,105.79,38,88464.0,200,600,400,400,400,0,0.2222222222222222,79.305,31737.0,0,221.16,88464.0,queue,3,1800.0,600.0,2400.0,75,0,0,400,400,0,0
uncontrolled,1:3,800,0,0,0,0,0,100,100,0,5891.0,0.0,0.0,0,300,300,0,85802.0,33036.0,110.12,38,91693.0,200,600,400,400,400,0,0.2222222222222222,82.5575,33036.0,0,229.2325,91693.0,queue,4,1800.0,600.0,2400.0,73,0,0,400,400,0,0
uncontrolled,1:3,800,0,0,0,0,0,100,100,0,5938.0,0.0,0.0,0,300,300,0,84531.0,35681.0,118.93666666666667,37,90469.0,200,600,400,400,400,0,0.2222222222222222,89.1775,35681.0,0,226.1725,90469.0,queue,5,1800.0,600.0,2400.0,89,0,0,400,400,0,0
cooperative_limited,1:3,800,86,0,86,86,157,100,100,0,6014.0,0.0,0.0,0,300,300,0,95754.0,47390.0,157.96666666666667,39,101768.0,200,600,400,400,400,0,0.2222222222222222,118.4425,47390.0,0,254.42,101768.0,queue,1,1800.0,600.0,2400.0,133,0,0,400,400,0,0
cooperative_limited,1:3,800,84,1,83,84,149,100,100,0,6070.0,0.0,0.0,0,300,300,0,94065.0,45637.0,152.12333333333333,39,100135.0,200,600,400,400,400,0,0.2222222222222222,114.065,45637.0,0,250.3375,100135.0,queue,2,1800.0,600.0,2400.0,130,0,0,400,400,0,0
cooperative_limited,1:3,800,81,0,81,81,146,100,100,0,5990.0,0.0,0.0,0,300,300,0,95569.0,46719.0,155.73,39,101559.0,200,600,400,400,400,0,0.2222222222222222,116.7675,46719.0,0,253.8975,101559.0,queue,3,1800.0,600.0,2400.0,126,0,0,400,400,0,0
