main_veh_h,ramp_veh_h,runs,recovered_runs,breakdown_runs,classification,mean_peak_queue_vehicles,max_peak_queue_vehicles,mean_avg_wait_time_s,mean_unfinished_vehicles,mean_throughput_veh_s
1800,2000,5,5,0,recovered,0.0,0,0.0,0.0,1.0555555555555556
1800,2050,5,5,0,recovered,0.0,0,0.0,0.0,1.07
1800,2100,5,5,0,recovered,0.0,0,0.0,0.0,1.083888888888889
1800,2150,5,4,1,recovered,133.6,253,0.000710676455056587,4.2,1.0954444444444444
1800,2200,5,0,5,breakdown,262.0,279,0.0025375671055580026,30.4,1.0947777777777778
1800,2250,5,0,5,breakdown,273.4,283,0.0013123375776174183,40.6,1.1024444444444446
1800,2300,5,0,5,breakdown,312.6,324,0.002033077650656444,81.2,1.0943333333333334
1800,2350,5,0,5,breakdown,344.8,357,0.002343821262315164,111.8,1.0906666666666667
1800,2400,5,0,5,breakdown,366.2,374,0.0020344447375509854,132.4,1.0931111111111111
