strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,meter_release_interval_s,meter_activations,meter_active_time_s,meter_active_share,meter_releases,main_loaded_veh,main_departed_veh,main_arrived_veh,main_network_unfinished_veh,main_pending_veh_end,main_total_unfinished_veh,main_network_time_spent_s,main_insertion_wait_time_s,main_total_time_spent_s,main_stopped_time_s,main_avg_stopped_time_s,main_peak_network_queue_vehicles,main_peak_pending_vehicles,side_loaded_veh,side_departed_veh,side_arrived_veh,side_network_unfinished_veh,side_pending_veh_end,side_total_unfinished_veh,side_network_time_spent_s,side_insertion_wait_time_s,side_total_time_spent_s,side_stopped_time_s,side_avg_stopped_time_s,side_peak_network_queue_vehicles,side_peak_pending_vehicles,network_time_spent_s,insertion_wait_time_s,total_time_spent_s,accounted_loaded_veh,loaded_reconciliation_error_veh,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
ramp_fixed_4s,1:1,800,0,0,0,0,0,4.0,0,0.0,0.0,192,200,200,200,0,0,0,11665.0,0.0,11665.0,0.0,0.0,0,0,200,200,180,20,0,20,101588.0,76608.0,178196.0,58099.0,290.495,53,88,113253.0,76608.0,189861.0,400,0,400,400,400,400,380,20,0.2111111111111111,152.8684210526316,58090.0,20,289.65,110067.0,breakdown,3,1800.0,600.0,2400.0,141,20,0,400,400,0,0
ramp_fixed_4s,1:1,800,0,0,0,0,0,4.0,0,0.0,0.0,189,200,200,200,0,0,0,11601.0,0.0,11601.0,0.0,0.0,0,0,200,200,176,24,0,24,103699.0,73717.0,177416.0,59059.0,295.295,53,88,115300.0,73717.0,189017.0,400,0,400,400,400,400,376,24,0.2088888888888889,157.0345744680851,59045.0,24,296.54787234042556,111502.0,breakdown,4,1800.0,600.0,2400.0,130,24,0,400,400,0,0
ramp_fixed_4s,1:1,800,0,0,0,0,0,4.0,0,0.0,0.0,193,200,200,200,0,0,0,11720.0,0.0,11720.0,0.0,0.0,0,0,200,200,181,19,0,19,103953.0,75435.0,179388.0,58136.0,290.68,53,88,115673.0,75435.0,191108.0,400,0,400,400,400,400,381,19,0.21166666666666667,152.5538057742782,58123.0,19,295.33858267716533,112524.0,breakdown,5,1800.0,600.0,2400.0,133,19,0,400,400,0,0
ramp_on_demand_4s,1:1,800,0,0,0,0,0,4.0,11,1337.0,0.5570833333333334,5,200,200,200,0,0,0,11731.0,0.0,11731.0,0.0,0.0,0,0,200,200,200,0,0,0,94241.0,66965.0,161206.0,60491.0,302.455,53,89,105972.0,66965.0,172937.0,400,0,400,400,400,400,400,0,0.2222222222222222,151.2075,60483.0,0,264.93,105972.0,queue,1,1800.0,600.0,2400.0,133,0,0,400,400,0,0
ramp_on_demand_4s,1:1,800,0,0,0,0,0,4.0,8,1517.0,0.6320833333333333,18,200,200,200,0,0,0,11742.0,0.0,11742.0,0.0,0.0,0,0,200,200,200,0,0,0,94655.0,64176.0,158831.0,59962.0,299.81,53,87,106397.0,64176.0,170573.0,400,0,400,400,400,400,400,0,0.2222222222222222,149.8725,59949.0,0,265.9925,106397.0,queue,2,1800.0,600.0,2400.0,128,0,0,400,400,0,0
ramp_on_demand_4s,1:1,800,0,0,0,0,0,4.0,9,1334.0,0.5558333333333333,18,200,200,200,0,0,0,11695.0,0.0,11695.0,0.0,0.0,0,0,200,200,200,0,0,0,91679.0,63783.0,155462.0,57841.0,289.205,53,85,103374.0,63783.0,167157.0,400,0,400,400,400,400,400,0,0.2222222222222222,144.5825,57833.0,0,258.435,103374.0,queue,3,1800.0,600.0,2400.0,137,0,0,400,400,0,0
ramp_on_demand_4s,1:1,800,0,0,0,0,0,4.0,7,1207.0,0.5029166666666667,3,200,200,200,0,0,0,11595.0,0.0,11595.0,0.0,0.0,0,0,200,200,200,0,0,0,93865.0,63956.0,157821.0,59742.0,298.71,53,87,105460.0,63956.0,169416.0,400,0,400,400,400,400,400,0,0.2222222222222222,149.33,59732.0,0,263.65,105460.0,queue,4,1800.0,600.0,2400.0,131,0,0,400,400,0,0
ramp_on_demand_4s,1:1,800,0,0,0,0,0,4.0,9,1100.0,0.4583333333333333,0,200,200,200,0,0,0,11702.0,0.0,11702.0,0.0,0.0,0,0,200,200,200,0,0,0,93317.0,63126.0,156443.0,58864.0,294.32,53,85,105019.0,63126.0,168145.0,400,0,400,400,400,400,400,0,0.2222222222222222,147.135,58854.0,0,262.5475,105019.0,queue,5,1800.0,600.0,2400.0,127,0,0,400,400,0,0
uncontrolled,1:2,800,0,0,0,0,0,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7836.0,0.0,7836.0,0.0,0.0,0,0,267,267,267,0,0,0,96965.0,79711.0,176676.0,51596.0,193.24344569288388,41,102,104801.0,79711.0,184512.0,401,0,267,533,400,401,401,0,0.22277777777777777,128.6284289276808,51580.0,0,261.34912718204487,104801.0,queue,1,1800.0,600.0,2400.0,136,0,0,401,401,0,0
uncontrolled,1:2,800,0,0,0,0,0,0.0,0,0.0,0.0,0,134,134,134,0,0,0,7830.0,0.0,7830.0,0.0,0.0,0,0,267,267,267,0,0,0,101781.0,97178.0,198959.0,54964.0,205.85767790262173,44,116,109611.0,97178.0,206789.0,401,0,267,533,400,401,401,0,0.22277777777777777,137.03491271820448,54951.0,0,273.3441396508728,109611.0,queue,2,1800.0,600.0,2400.0,150,0,0,401,401,0,0
