total_demand_veh_h,demand_ratio,metric,lower_is_better,paired_seeds,mean_paired_delta,sample_stddev,standard_error,t_critical_95,ci_95_low,ci_95_high,ci_excludes_zero,interpretation
1000,1:4,total_time_spent_s,True,5,80164.8,16466.014657469488,7363.825618521938,2.776,59722.820082983104,100606.7799170169,True,worsens
1000,1:4,unfinished_vehicles,True,5,38.6,11.304866208850063,5.0556898639058145,2.776,24.56540493779746,52.63459506220254,True,worsens
1000,1:5,insertion_wait_time_s,True,5,0.0,0.0,0.0,2.776,0.0,0.0,False,uncertain
1000,1:5,network_time_spent_s,True,5,572.4,551.4819126680403,246.6302090174681,2.776,-112.24546023249138,1257.0454602324912,False,uncertain
1000,1:5,throughput_veh_h,False,5,0.0,0.0,0.0,2.776,0.0,0.0,False,uncertain
1000,1:5,total_time_spent_s,True,5,572.4,551.4819126680403,246.6302090174681,2.776,-112.24546023249138,1257.0454602324912,False,uncertain
1000,1:5,unfinished_vehicles,True,5,0.0,0.0,0.0,2.776,0.0,0.0,False,uncertain
1200,1:1,insertion_wait_time_s,True,5,4450.0,6863.713462842108,3069.545976199086,2.776,-4071.0596299286626,12971.059629928663,False,uncertain
1200,1:1,network_time_spent_s,True,5,325.6,287.6287537781993,128.63148914632063,2.776,-31.48101387018602,682.681013870186,False,uncertain
1200,1:1,throughput_veh_h,False,5,-6.0,10.583005244258363,4.732863826479693,2.776,-19.138429982307628,7.138429982307626,False,uncertain
1200,1:1,total_time_spent_s,True,5,4775.6,7122.473959236355,3185.2671881649107,2.776,-4066.7017143457906,13617.901714345791,False,uncertain
1200,1:1,unfinished_vehicles,True,5,3.0,5.291502622129181,2.3664319132398464,2.776,-3.569214991153813,9.569214991153814,False,uncertain
1200,1:2,insertion_wait_time_s,True,5,-2887.0,9672.364679849494,4325.612985462291,2.776,-14894.90164764332,9120.90164764332,False,uncertain
1200,1:2,network_time_spent_s,True,5,104.0,187.12562625145708,83.68512412609543,2.776,-128.3099045740409,336.3099045740409,False,uncertain
1200,1:2,throughput_veh_h,False,5,5.2,15.974980438172786,7.144228439796745,2.776,-14.632378148875762,25.03237814887576,False,uncertain
1200,1:2,total_time_spent_s,True,5,-2783.0,9828.002492877176,4395.216331422152,2.776,-14984.120536027893,9418.120536027893,False,uncertain
1200,1:2,unfinished_vehicles,True,5,-2.6,7.987490219086343,3.57211421989835,2.776,-12.516189074437818,7.316189074437819,False,uncertain
1200,1:3,insertion_wait_time_s,True,5,-4220.4,10058.060141001346,4498.101239412025,2.776,-16707.129040607782,8266.329040607781,False,uncertain
1200,1:3,network_time_spent_s,True,5,131.4,105.19648283093879,47.04529732077373,2.776,0.802254637532144,261.99774536246787,True,worsens
1200,1:3,throughput_veh_h,False,5,2.7999999999999545,12.69645619848311,5.678027826631359,2.776,-12.962205246728697,18.562205246728606,False,uncertain
1200,1:3,total_time_spent_s,True,5,-4089.0,10148.985269473988,4538.764193037571,2.776,-16688.609399872297,8510.609399872297,False,uncertain
1200,1:3,unfinished_vehicles,True,5,-1.4,6.348228099241552,2.8390139133156778,2.776,-9.28110262336432,6.481102623364322,False,uncertain
1200,1:4,insertion_wait_time_s,True,5,4923.0,13178.987593893546,5893.822426914472,2.776,-11438.251057114574,21284.251057114576,False,uncertain
1200,1:4,network_time_spent_s,True,5,336.8,171.90753328461204,76.87938605374005,2.776,123.38282431481764,550.2171756851824,True,worsens
1200,1:4,throughput_veh_h,False,5,-7.2,18.471599822430168,8.26075057122538,2.776,-30.13184358572165,15.731843585721652,False,uncertain
1200,1:4,total_time_spent_s,True,5,5259.8,13336.830515531043,5964.411927424195,2.776,-11297.407510529563,21817.007510529562,False,uncertain
1200,1:4,unfinished_vehicles,True,5,3.6,9.235799911215054,4.1303752856126765,2.776,-7.865921792860789,15.065921792860788,False,uncertain
1200,1:5,insertion_wait_time_s,True,5,81081.6,16681.794441845876,7460.325271729108,2.776,60371.737045680005,101791.46295432001,True,worsens
1200,1:5,network_time_spent_s,True,5,1859.0,529.7556040288767,236.91390841400596,2.776,1201.3269902427196,2516.6730097572804,True,worsens
1200,1:5,throughput_veh_h,False,5,-113.99999999999997,19.899748742132413,8.899438184514802,2.776,-138.70484040021307,-89.29515959978688,True,worsens
1200,1:5,total_time_spent_s,True,5,82940.6,17036.223416590896,7618.830727874192,2.776,61790.725899421246,104090.47410057877,True,worsens
1200,1:5,unfinished_vehicles,True,5,57.0,9.9498743710662,4.449719092257397,2.776,44.647579799893464,69.35242020010654,True,worsens
