total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,cooperative_value,paired_delta
800,1:4,2,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,2,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,2,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,3,total_time_spent_s,True,25476.0,25476.0,0.0
800,1:4,3,network_time_spent_s,True,25476.0,25476.0,0.0
800,1:4,3,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,3,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,3,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,4,total_time_spent_s,True,25178.0,25178.0,0.0
800,1:4,4,network_time_spent_s,True,25178.0,25178.0,0.0
800,1:4,4,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,4,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,4,throughput_veh_h,False,800.0,800.0,0.0
800,1:4,5,total_time_spent_s,True,25337.0,25337.0,0.0
800,1:4,5,network_time_spent_s,True,25337.0,25337.0,0.0
800,1:4,5,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:4,5,unfinished_vehicles,True,0.0,0.0,0.0
800,1:4,5,throughput_veh_h,False,800.0,800.0,0.0
800,1:5,1,total_time_spent_s,True,25446.0,25446.0,0.0
800,1:5,1,network_time_spent_s,True,25446.0,25446.0,0.0
800,1:5,1,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:5,1,unfinished_vehicles,True,0.0,0.0,0.0
800,1:5,1,throughput_veh_h,False,802.0,802.0,0.0
800,1:5,2,total_time_spent_s,True,25618.0,25618.0,0.0
800,1:5,2,network_time_spent_s,True,25618.0,25618.0,0.0
800,1:5,2,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:5,2,unfinished_vehicles,True,0.0,0.0,0.0
800,1:5,2,throughput_veh_h,False,802.0,802.0,0.0
800,1:5,3,total_time_spent_s,True,25548.0,25548.0,0.0
800,1:5,3,network_time_spent_s,True,25548.0,25548.0,0.0
800,1:5,3,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:5,3,unfinished_vehicles,True,0.0,0.0,0.0
800,1:5,3,throughput_veh_h,False,802.0,802.0,0.0
800,1:5,4,total_time_spent_s,True,25331.0,25331.0,0.0
800,1:5,4,network_time_spent_s,True,25331.0,25331.0,0.0
800,1:5,4,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:5,4,unfinished_vehicles,True,0.0,0.0,0.0
800,1:5,4,throughput_veh_h,False,802.0,802.0,0.0
800,1:5,5,total_time_spent_s,True,25515.0,25515.0,0.0
800,1:5,5,network_time_spent_s,True,25515.0,25515.0,0.0
800,1:5,5,insertion_wait_time_s,True,0.0,0.0,0.0
800,1:5,5,unfinished_vehicles,True,0.0,0.0,0.0
800,1:5,5,throughput_veh_h,False,802.0,802.0,0.0
1000,1:1,1,total_time_spent_s,True,259251.0,266340.0,7089.0
1000,1:1,1,network_time_spent_s,True,121553.0,122587.0,1034.0
1000,1:1,1,insertion_wait_time_s,True,137698.0,143753.0,6055.0
1000,1:1,1,unfinished_vehicles,True,0.0,2.0,2.0
1000,1:1,1,throughput_veh_h,False,1000.0,996.0,-4.0
1000,1:1,2,total_time_spent_s,True,253217.0,253295.0,78.0
1000,1:1,2,network_time_spent_s,True,120555.0,121047.0,492.0
1000,1:1,2,insertion_wait_time_s,True,132662.0,132248.0,-414.0
1000,1:1,2,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:1,2,throughput_veh_h,False,1000.0,1000.0,0.0
1000,1:1,3,total_time_spent_s,True,266472.0,281685.0,15213.0
1000,1:1,3,network_time_spent_s,True,122768.0,124619.0,1851.0
1000,1:1,3,insertion_wait_time_s,True,143704.0,157066.0,13362.0
1000,1:1,3,unfinished_vehicles,True,2.0,12.0,10.0
1000,1:1,3,throughput_veh_h,False,996.0,976.0000000000001,-19.999999999999886
1000,1:1,4,total_time_spent_s,True,258275.0,258853.0,578.0
