main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions,capacity_state
1800,2400,2100,2100,1961,139,1.0894444444444444,0.0035696073431922487,7.0,139,95.03416624171341,186362.0,breakdown,123,1800.0,600.0,2400.0,371,46,93,2007,2100,0,0,breakdown
1800,2400,2100,2100,1937,163,1.076111111111111,0.002581311306143521,5.0,163,93.85957666494579,181806.0,breakdown,2026,1800.0,600.0,2400.0,387,48,115,1985,2100,0,0,breakdown
1800,2800,2300,2300,1969,331,1.093888888888889,0.0025393600812595226,5.0,331,94.47790756729304,186027.0,breakdown,7,1800.0,600.0,2400.0,561,41,290,2010,2300,0,0,breakdown
1800,2800,2300,2300,1952,348,1.0844444444444445,0.0025614754098360654,5.0,348,95.4702868852459,186358.0,breakdown,42,1800.0,600.0,2400.0,573,45,303,1997,2300,0,0,breakdown
1800,2800,2300,2300,1952,348,1.0844444444444445,0.0025614754098360654,5.0,348,94.43237704918033,184332.0,breakdown,99,1800.0,600.0,2400.0,572,44,304,1996,2300,0,0,breakdown
1800,2800,2300,2300,1956,344,1.0866666666666667,0.0015337423312883436,3.0,344,95.0782208588957,185973.0,breakdown,123,1800.0,600.0,2400.0,578,44,300,2000,2300,0,0,breakdown
1800,2800,2300,2300,1957,343,1.0872222222222223,0.0015329586101175269,3.0,343,94.0204394481349,183998.0,breakdown,2026,1800.0,600.0,2400.0,571,48,295,2005,2300,0,0,breakdown
1800,3200,2500,2500,1951,549,1.083888888888889,0.0025627883136852894,5.0,549,94.614044079959,184592.0,breakdown,7,1800.0,600.0,2400.0,769,54,495,2005,2500,0,0,breakdown
1800,3200,2500,2500,1955,545,1.086111111111111,0.0025575447570332483,5.0,545,95.86291560102302,187412.0,breakdown,42,1800.0,600.0,2400.0,765,49,496,2004,2500,0,0,breakdown
1800,3200,2500,2500,1958,542,1.0877777777777777,0.002553626149131767,5.0,542,94.26046986721144,184562.0,breakdown,99,1800.0,600.0,2400.0,769,41,501,1999,2500,0,0,breakdown
1800,3200,2500,2500,1952,548,1.0844444444444445,0.0020491803278688526,4.0,548,95.19108606557377,185813.0,breakdown,123,1800.0,600.0,2400.0,776,46,502,1998,2500,0,0,breakdown
1800,3200,2500,2500,1956,544,1.0866666666666667,0.002044989775051125,4.0,544,94.10378323108384,184067.0,breakdown,2026,1800.0,600.0,2400.0,778,42,502,1998,2500,0,0,breakdown
1800,3600,2700,2700,1952,748,1.0844444444444445,0.0020491803278688526,4.0,748,94.46209016393442,184390.0,breakdown,7,1800.0,600.0,2400.0,973,51,697,2003,2700,0,0,breakdown
1800,3600,2700,2700,1967,733,1.0927777777777778,0.0005083884087442806,1.0,733,95.6670055922725,188177.0,breakdown,42,1800.0,600.0,2400.0,962,44,689,2011,2700,0,0,breakdown
1800,3600,2700,2700,1958,742,1.0877777777777777,0.0020429009193054137,4.0,742,94.52042900919305,185071.0,breakdown,99,1800.0,600.0,2400.0,971,49,693,2007,2700,0,0,breakdown
1800,3600,2700,2700,1963,737,1.0905555555555555,0.0010188487009679063,2.0,737,95.01630157921548,186517.0,breakdown,123,1800.0,600.0,2400.0,968,42,695,2005,2700,0,0,breakdown
1800,3600,2700,2700,1971,729,1.095,0.0005073566717402334,1.0,729,94.53120243531203,186321.0,breakdown,2026,1800.0,600.0,2400.0,959,40,689,2011,2700,0,0,breakdown
