demand_ratio,total_demand_veh_h,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
1:2,1000,333,667,500,501,449,52,0.24944444444444444,138.48329621380847,62179.0,52,266.4877505567929,119653.0,breakdown,2,1800.0,600.0,2400.0,239,48,4,497,501,0,0
1:2,1000,333,667,500,501,451,50,0.25055555555555553,136.3059866962306,61474.0,50,263.6008869179601,118884.0,breakdown,3,1800.0,600.0,2400.0,240,45,5,496,501,0,0
1:2,1000,333,667,500,501,447,54,0.24833333333333332,140.00671140939596,62583.0,54,267.37136465324386,119515.0,breakdown,4,1800.0,600.0,2400.0,251,45,9,492,501,0,0
1:2,1000,333,667,500,501,441,60,0.245,141.43990929705217,62375.0,60,269.01814058956916,118637.0,breakdown,5,1800.0,600.0,2400.0,251,47,13,488,501,0,0
1:3,1000,250,750,500,500,450,50,0.25,122.28444444444445,55028.0,50,258.06,116127.0,breakdown,1,1800.0,600.0,2400.0,240,47,3,497,500,0,0
1:3,1000,250,750,500,500,447,53,0.24833333333333332,124.32662192393737,55574.0,53,261.88366890380314,117062.0,breakdown,2,1800.0,600.0,2400.0,245,45,8,492,500,0,0
1:3,1000,250,750,500,500,440,60,0.24444444444444444,129.10227272727272,56805.0,60,265.8681818181818,116982.0,breakdown,3,1800.0,600.0,2400.0,246,45,15,485,500,0,0
1:3,1000,250,750,500,500,444,56,0.24666666666666667,125.69369369369369,55808.0,56,259.85585585585585,115376.0,breakdown,4,1800.0,600.0,2400.0,240,47,9,491,500,0,0
1:3,1000,250,750,500,500,444,56,0.24666666666666667,126.44144144144144,56140.0,56,261.85360360360363,116263.0,breakdown,5,1800.0,600.0,2400.0,242,46,10,490,500,0,0
1:4,1000,200,800,500,500,500,0,0.2777777777777778,73.308,36654.0,0,223.216,111608.0,queue,1,1800.0,600.0,2400.0,178,0,0,500,500,0,0
1:4,1000,200,800,500,500,500,0,0.2777777777777778,76.53,38265.0,0,225.186,112593.0,queue,2,1800.0,600.0,2400.0,183,0,0,500,500,0,0
1:4,1000,200,800,500,500,500,0,0.2777777777777778,70.766,35383.0,0,220.094,110047.0,queue,3,1800.0,600.0,2400.0,172,0,0,500,500,0,0
1:4,1000,200,800,500,500,500,0,0.2777777777777778,70.612,35306.0,0,218.488,109244.0,queue,4,1800.0,600.0,2400.0,163,0,0,500,500,0,0
1:4,1000,200,800,500,500,500,0,0.2777777777777778,68.744,34372.0,0,217.376,108688.0,queue,5,1800.0,600.0,2400.0,163,0,0,500,500,0,0
1:5,1000,167,833,500,501,501,0,0.2783333333333333,0.6746506986027944,338.0,0,65.8942115768463,33013.0,queue,1,1800.0,600.0,2400.0,6,0,0,501,501,0,0
1:5,1000,167,833,500,501,501,0,0.2783333333333333,1.3193612774451098,661.0,0,68.54491017964072,34341.0,queue,2,1800.0,600.0,2400.0,9,0,0,501,501,0,0
1:5,1000,167,833,500,501,501,0,0.2783333333333333,0.3273453093812375,164.0,0,65.27744510978044,32704.0,queue,3,1800.0,600.0,2400.0,5,0,0,501,501,0,0
1:5,1000,167,833,500,501,501,0,0.2783333333333333,0.40119760479041916,201.0,0,64.85229540918164,32491.0,queue,4,1800.0,600.0,2400.0,5,0,0,501,501,0,0
1:5,1000,167,833,500,501,501,0,0.2783333333333333,0.7884231536926147,395.0,0,66.10778443113773,33120.0,queue,5,1800.0,600.0,2400.0,6,0,0,501,501,0,0
1:1,1200,600,600,600,600,538,62,0.29888888888888887,132.82342007434943,71459.0,62,236.8996282527881,127452.0,breakdown,1,1800.0,600.0,2400.0,258,48,14,586,600,0,0
1:1,1200,600,600,600,600,549,51,0.305,126.85974499089254,69646.0,51,233.16211293260474,128006.0,breakdown,2,1800.0,600.0,2400.0,244,45,6,594,600,0,0
1:1,1200,600,600,600,600,532,68,0.29555555555555557,135.1109022556391,71879.0,68,240.9436090225564,128182.0,breakdown,3,1800.0,600.0,2400.0,264,48,20,580,600,0,0
1:1,1200,600,600,600,600,532,68,0.29555555555555557,138.32894736842104,73591.0,68,241.3515037593985,128399.0,breakdown,4,1800.0,600.0,2400.0,268,45,23,577,600,0,0
1:1,1200,600,600,600,600,532,68,0.29555555555555557,137.52443609022558,73163.0,68,241.0639097744361,128246.0,breakdown,5,1800.0,600.0,2400.0,257,47,21,579,600,0,0
1:2,1200,400,800,600,600,462,138,0.25666666666666665,147.53246753246754,68160.0,138,267.9069264069264,123773.0,breakdown,1,1800.0,600.0,2400.0,335,46,92,508,600,0,0
1:2,1200,400,800,600,600,466,134,0.2588888888888889,143.47424892703862,66859.0,134,266.343347639485,124116.0,breakdown,2,1800.0,600.0,2400.0,336,46,88,512,600,0,0
1:2,1200,400,800,600,600,462,138,0.25666666666666665,146.2922077922078,67587.0,138,268.4761904761905,124036.0,breakdown,3,1800.0,600.0,2400.0,330,46,92,508,600,0,0
1:2,1200,400,800,600,600,458,142,0.2544444444444444,148.53275109170306,68028.0,142,270.1943231441048,123749.0,breakdown,4,1800.0,600.0,2400.0,327,47,95,505,600,0,0
1:2,1200,400,800,600,600,464,136,0.2577777777777778,145.8405172413793,67670.0,136,265.2715517241379,123086.0,breakdown,5,1800.0,600.0,2400.0,328,47,89,511,600,0,0
1:3,1200,300,900,600,600,457,143,0.2538888888888889,128.68927789934355,58811.0,143,264.34792122538295,120807.0,breakdown,1,1800.0,600.0,2400.0,338,45,98,502,600,0,0
1:3,1200,300,900,600,600,446,154,0.2477777777777778,136.92376681614348,61068.0,154,272.4013452914798,121491.0,breakdown,2,1800.0,600.0,2400.0,346,46,108,492,600,0,0
1:3,1200,300,900,600,600,437,163,0.2427777777777778,141.71853546910756,61931.0,163,277.60183066361554,121312.0,breakdown,3,1800.0,600.0,2400.0,352,46,117,483,600,0,0
1:3,1200,300,900,600,600,444,156,0.24666666666666667,139.49324324324326,61935.0,156,271.64639639639637,120611.0,breakdown,4,1800.0,600.0,2400.0,347,45,111,489,600,0,0
1:3,1200,300,900,600,600,444,156,0.24666666666666667,138.58333333333334,61531.0,156,273.1599099099099,121283.0,breakdown,5,1800.0,600.0,2400.0,346,45,111,489,600,0,0
1:4,1200,240,960,600,600,452,148,0.2511111111111111,122.67477876106194,55449.0,148,262.3495575221239,118582.0,breakdown,1,1800.0,600.0,2400.0,336,46,102,498,600,0,0
1:4,1200,240,960,600,600,452,148,0.2511111111111111,122.69911504424779,55460.0,148,262.98230088495575,118868.0,breakdown,2,1800.0,600.0,2400.0,334,45,103,497,600,0,0
1:4,1200,240,960,600,600,465,135,0.25833333333333336,111.39139784946236,51797.0,135,253.6236559139785,117935.0,breakdown,3,1800.0,600.0,2400.0,321,48,87,513,600,0,0
1:4,1200,240,960,600,600,455,145,0.25277777777777777,117.77142857142857,53586.0,145,259.45274725274726,118051.0,breakdown,4,1800.0,600.0,2400.0,332,46,99,501,600,0,0
1:4,1200,240,960,600,600,461,139,0.2561111111111111,115.56832971800434,53277.0,139,256.9110629067245,118436.0,breakdown,5,1800.0,600.0,2400.0,325,46,93,507,600,0,0
1:5,1200,200,1000,600,600,519,81,0.28833333333333333,73.07514450867052,37926.0,81,221.242774566474,114825.0,breakdown,1,1800.0,600.0,2400.0,270,45,36,564,600,0,0
1:5,1200,200,1000,600,600,506,94,0.2811111111111111,80.9802371541502,40976.0,94,229.50592885375494,116130.0,breakdown,2,1800.0,600.0,2400.0,279,46,48,552,600,0,0
1:5,1200,200,1000,600,600,506,94,0.2811111111111111,75.31422924901186,38109.0,94,227.75691699604744,115245.0,breakdown,3,1800.0,600.0,2400.0,270,50,44,556,600,0,0
1:5,1200,200,1000,600,600,524,76,0.2911111111111111,68.5057251908397,35897.0,76,219.8091603053435,115180.0,breakdown,4,1800.0,600.0,2400.0,265,46,30,570,600,0,0
1:5,1200,200,1000,600,600,502,98,0.2788888888888889,79.92430278884463,40122.0,98,231.5378486055777,116232.0,breakdown,5,1800.0,600.0,2400.0,281,44,54,546,600,0,0
