main_veh_h,side_veh_h,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s
200,50,125,122,3,0.06777777777777778,1.7377049180327868,212.0,3,60.80327868852459,7418.0,queue,42,1800.0
200,100,150,146,4,0.0811111111111111,2.8424657534246576,415.0,4,62.965753424657535,9193.0,queue,42,1800.0
200,200,200,194,6,0.10777777777777778,3.6237113402061856,703.0,6,65.3659793814433,12681.0,breakdown,42,1800.0
200,400,300,285,15,0.15833333333333333,8.0,2280.0,15,73.08421052631579,20829.0,breakdown,42,1800.0
200,600,400,282,118,0.15666666666666668,107.06737588652483,30193.0,118,240.56737588652481,67840.0,breakdown,42,1800.0
200,800,500,312,188,0.17333333333333334,90.98717948717949,28388.0,188,243.70833333333334,76037.0,breakdown,42,1800.0
200,1000,600,302,298,0.16777777777777778,109.62251655629139,33106.0,298,268.1655629139073,80986.0,breakdown,42,1800.0
400,50,225,219,6,0.12166666666666667,1.2374429223744292,271.0,6,60.28767123287671,13203.0,breakdown,42,1800.0
400,100,250,242,8,0.13444444444444445,2.9958677685950414,725.0,8,62.63223140495868,15157.0,breakdown,42,1800.0
400,200,300,266,34,0.14777777777777779,61.83458646616541,16448.0,34,132.58646616541353,35268.0,breakdown,42,1800.0
400,400,400,245,155,0.1361111111111111,114.39591836734694,28027.0,155,194.57551020408164,47671.0,breakdown,42,1800.0
400,600,500,258,242,0.14333333333333334,134.90697674418604,34806.0,242,225.02713178294573,58057.0,breakdown,42,1800.0
400,800,600,260,340,0.14444444444444443,131.91153846153847,34297.0,340,225.30769230769232,58580.0,breakdown,42,1800.0
400,1000,700,253,447,0.14055555555555554,144.8418972332016,36645.0,447,235.8498023715415,59670.0,breakdown,42,1800.0
600,50,325,315,10,0.175,2.2603174603174603,712.0,10,61.492063492063494,19370.0,breakdown,42,1800.0
600,100,350,331,19,0.18388888888888888,21.401812688821753,7084.0,19,82.64954682779457,27357.0,breakdown,42,1800.0
600,200,400,325,75,0.18055555555555555,60.27076923076923,19588.0,75,127.11384615384615,41312.0,breakdown,42,1800.0
600,400,500,325,175,0.18055555555555555,59.473846153846154,19329.0,175,125.8276923076923,40894.0,breakdown,42,1800.0
600,600,600,325,275,0.18055555555555555,78.77538461538461,25602.0,275,147.67076923076922,47993.0,breakdown,42,1800.0
600,800,700,322,378,0.17888888888888888,66.68012422360249,21471.0,378,133.1055900621118,42860.0,breakdown,42,1800.0
600,1000,800,333,467,0.185,80.92792792792793,26949.0,467,152.5915915915916,50813.0,breakdown,42,1800.0
800,50,425,408,17,0.22666666666666666,2.924019607843137,1193.0,17,62.43872549019608,25475.0,breakdown,42,1800.0
800,100,450,419,31,0.23277777777777778,20.200477326968972,8464.0,31,81.66348448687351,34217.0,breakdown,42,1800.0
800,200,500,413,87,0.22944444444444445,39.559322033898304,16338.0,87,102.7457627118644,42434.0,breakdown,42,1800.0
800,400,600,413,187,0.22944444444444445,48.30992736077482,19952.0,187,113.52300242130751,46885.0,breakdown,42,1800.0
800,600,700,413,287,0.22944444444444445,51.33414043583535,21201.0,287,116.71428571428571,48203.0,breakdown,42,1800.0
