main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
200,300,250,250,250,0,0.1388888888888889,2.748,687.0,0,64.568,16142.0,queue,5,1800.0,600.0,2400.0,5,0,0,250,250,0,0
200,350,275,275,275,0,0.1527777777777778,2.84,781.0,0,65.18181818181819,17925.0,queue,1,1800.0,600.0,2400.0,6,0,0,275,275,0,0
200,350,275,275,275,0,0.1527777777777778,3.5854545454545454,986.0,0,66.59272727272727,18313.0,queue,2,1800.0,600.0,2400.0,5,0,0,275,275,0,0
200,350,275,275,275,0,0.1527777777777778,3.149090909090909,866.0,0,65.66909090909091,18059.0,queue,3,1800.0,600.0,2400.0,6,0,0,275,275,0,0
200,350,275,275,275,0,0.1527777777777778,3.0109090909090908,828.0,0,65.49090909090908,18010.0,queue,4,1800.0,600.0,2400.0,6,0,0,275,275,0,0
200,350,275,275,275,0,0.1527777777777778,8.48,2332.0,0,72.85454545454546,20035.0,queue,5,1800.0,600.0,2400.0,6,0,0,275,275,0,0
200,400,300,300,300,0,0.16666666666666666,5.416666666666667,1625.0,0,69.05333333333333,20716.0,queue,1,1800.0,600.0,2400.0,7,0,0,300,300,0,0
200,400,300,300,300,0,0.16666666666666666,10.77,3231.0,0,77.12,23136.0,queue,2,1800.0,600.0,2400.0,11,0,0,300,300,0,0
200,400,300,300,300,0,0.16666666666666666,14.196666666666667,4259.0,0,81.57333333333334,24472.0,queue,3,1800.0,600.0,2400.0,13,0,0,300,300,0,0
200,400,300,300,300,0,0.16666666666666666,18.553333333333335,5566.0,0,87.89,26367.0,queue,4,1800.0,600.0,2400.0,12,0,0,300,300,0,0
200,400,300,300,300,0,0.16666666666666666,46.42,13926.0,0,130.31666666666666,39095.0,queue,5,1800.0,600.0,2400.0,24,0,0,300,300,0,0
